WFST_ID,ra,dec,z,z_err,z_type,confidence,t0_mcmc,t0_err,tE_mcmc,tE_err,u0_mcmc,u0_err,A_max,g_s,g_base,r_s,r_base,i_s,i_base,chi2,dof,chi2/dof,source,type,external_match,logMBH_lamost,logMBH_method_lamost,logL_lamost,logL_wave_lamost,broad_fwhm_lamost,broad_ew_lamost,logMBH_SDSSDR16Q,logMBH_method_SDSSDR16Q,logL_SDSSDR16Q,logL_wave_SDSSDR16Q,broad_fwhm_SDSSDR16Q,broad_ew_SDSSDR16Q
WFST_016487653+34352818,16.4876526,34.3528179,1.31,,spec,high,59003.24,+3.03/-2.75,138.24,+6.41/-4.76,0.931,+0.043/-0.062,1.40,19.56,19.42,19.59,19.21,19.30,19.19,1896.4,1490,1.27,"MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,8.719902,MgII,45.475641,3000,3408.019700,24.298512
WFST_023245834+16500895,23.245833557205653,16.50089493587508,0.5768400178141733,3.046962949588597e-05,spec,high,58773.15,+1.51/-1.44,223.93,+2.75/-2.61,0.779,+0.005/-0.006,1.56,18.45,18.44,18.48,18.43,18.36,18.28,3586.3,1307,2.74,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_023829049+08399071,23.82904915190727,8.399071086233105,0.5046050515498013,3.05027207178394e-05,spec,high,59453.37,+1.74/-1.68,391.97,+7.78/-6.54,0.306,+0.005/-0.007,3.38,20.10,20.08,20.24,19.94,20.29,19.46,2255.1,900,2.51,"DESI_DR1,LAMOST_DR1_5,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,H,7.951004,MgII,44.709115,3000,2360.294,41.775,8.389153,Hbeta,44.289230,5100,4648.030439,90.173857
WFST_028670033+29849251,28.6700333,29.849251,1.524,,spec,high,59624.40,+2.37/-2.44,282.51,+6.56/-5.49,0.637,+0.013/-0.015,1.80,20.05,20.02,20.35,19.89,20.00,19.87,2712.0,1794,1.51,"MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,8.983576,MgII,45.451711,3000,4696.315369,31.549089
WFST_034177922+23962241,34.17792208483377,23.96224067173576,2.6637864445032777,0.0001349367092293,spec,high,59458.36,+4.24/-4.30,461.12,+16.45/-12.60,0.635,+0.015/-0.026,1.80,20.19,20.15,20.01,19.88,20.20,19.78,1654.3,1292,1.28,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_037757254+14440046,37.75725415871282,14.440046465200144,0.2588633927549302,6.6896617790392685e-06,spec,high,58943.81,+1.27/-1.25,240.84,+37.15/-32.13,0.513,+0.132/-0.105,2.14,19.55,18.94,19.43,18.48,,,1748.8,984,1.78,"DESI_DR1,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",B,-,,,,,,,,,,,,
WFST_039461119-09250571,39.46111876074959,-9.250571039680429,1.0008561699956804,7.975725353914656e-05,spec,high,59306.37,+1.75/-1.77,179.04,+10.90/-6.17,0.810,+0.036/-0.071,1.52,19.33,19.22,19.28,18.96,19.54,18.98,1412.9,1033,1.37,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_042422623+05478650,42.42262337201377,5.478650040122767,1.2410916702248285,0.0001060799529778,spec,high,58994.71,+1.56/-1.48,122.80,+3.60/-2.94,0.915,+0.025/-0.038,1.41,18.17,18.11,18.21,17.83,,,2629.8,968,2.72,"DESI_DR1,LAMOST_DR1_5,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,9.551594,MgII,45.595413,3000,8151.151,26.685,,,,,,
WFST_052603410+78197322,52.60341008389255,78.19732150157772,0.5163960456848145,0.0795614248514175,phot,high,58981.54,+0.81/-0.88,155.35,+3.48/-2.36,0.780,+0.016/-0.027,1.56,18.18,18.14,18.18,18.06,,,4283.4,1851,2.31,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_054920904+18144201,54.92090424161072,18.144200680224905,1.41967511177063,0.0619466423988341,phot,high,59530.83,+3.06/-3.14,243.44,+25.43/-14.41,0.747,+0.075/-0.111,1.60,19.10,18.84,19.10,18.52,,,1837.5,1327,1.38,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,H,,,,,,,,,,,,
WFST_062970014-05923193,62.97001394514536,-5.923193110898582,0.3612879216098397,2.130695347460658e-05,spec,high,59844.10,+1.43/-1.52,94.10,+11.94/-6.94,0.434,+0.041/-0.071,2.47,20.37,20.17,20.14,19.70,,,933.9,628,1.49,"DESI_DR1,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",Q,H,,,,,,,7.507326,Hbeta,44.022499,5100,1963.533954,23.488986
WFST_092554023+55814761,92.5540231,55.8147612,1.38,,spec,high,58959.69,+1.82/-1.84,436.96,+10.99/-8.97,0.569,+0.010/-0.013,1.96,19.67,19.65,19.51,18.91,19.82,18.54,1880.6,1194,1.58,"MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",R,-,,,,,,,,,,,,
WFST_102266881+31096600,102.2668805060533,31.09659966574513,1.48,0.0703803605842591,phot,high,59470.29,+4.55/-4.58,372.78,+12.69/-11.38,0.733,+0.020/-0.026,1.63,19.83,19.79,19.76,19.44,,,1483.8,1153,1.29,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_102726711+67788415,102.72671102048494,67.7884154555494,1.7468218803405762,0.0372833663940429,phot,high,58979.63,+1.94/-1.92,173.50,+5.17/-3.92,0.789,+0.018/-0.028,1.55,19.56,19.51,19.85,19.50,,,2529.3,1889,1.34,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_107021175+78371319,107.02117461160874,78.37131941584022,0.2514016362365515,2.0039267356879907e-05,spec,high,59791.83,+2.74/-2.55,154.44,+4.98/-4.13,0.991,+0.026/-0.042,1.35,16.03,15.97,16.10,15.82,,,1406.2,941,1.49,"DESI_DR1,JPLUSDR3,QUAIA_G20_5,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_107899597+44603726,107.89959728778273,44.60372559005286,0.8513466715812683,0.08334,phot,high,59284.38,+2.99/-2.83,167.17,+7.95/-6.51,0.710,+0.022/-0.038,1.66,20.21,20.14,20.10,19.81,20.07,19.69,1829.1,1245,1.47,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_108494107+49885229,108.49410713355364,49.88522918866341,1.1436384557502812,0.0001649302688575,spec,high,59092.43,+1.10/-1.15,336.38,+8.05/-5.13,0.644,+0.010/-0.020,1.78,18.44,18.41,18.51,18.08,18.38,18.18,2821.1,1580,1.79,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_109741976+24427910,109.74197622544978,24.42790951918749,2.634817361831665,0.0900800000000001,phot,high,58629.29,+1.22/-1.20,230.74,+3.41/-2.88,0.928,+0.011/-0.017,1.40,17.81,17.79,17.63,17.51,,,2726.8,2787,0.98,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,H,,,,,,,,,,,,
WFST_118985805+40672700,118.98580471768172,40.67270007831432,2.335407188188613,0.0001320493843433,spec,high,58966.30,+1.67/-1.67,431.36,+30.41/-17.97,0.563,+0.034/-0.051,1.98,20.16,20.02,20.30,20.02,20.20,19.77,3721.7,2813,1.32,"DESI_DR1,JPLUSDR3,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",QR,-,,,,,,,8.788448,CIV,45.707260,1350,4090.721901,129.307942
WFST_122878037+39534217,122.8780366103344,39.53421726816799,1.27997672172068,,phot,high,59454.00,+0.50/-0.51,38.19,+1.89/-1.49,0.443,+0.015/-0.029,2.42,,,19.33,19.26,,,1248.8,766,1.63,"JPLUSDR3,MILLIQUAS,WISE_R90",R,-,,,,,,,,,,,,
