WFST_ID,ra,dec,z,z_err,z_type,confidence,t0_mcmc,t0_err,tE_mcmc,tE_err,u0_mcmc,u0_err,A_max,g_s,g_base,r_s,r_base,i_s,i_base,chi2,dof,chi2/dof,source,type,external_match,logMBH_lamost,logMBH_method_lamost,logL_lamost,logL_wave_lamost,broad_fwhm_lamost,broad_ew_lamost,logMBH_SDSSDR16Q,logMBH_method_SDSSDR16Q,logL_SDSSDR16Q,logL_wave_SDSSDR16Q,broad_fwhm_SDSSDR16Q,broad_ew_SDSSDR16Q
WFST_010894820+46246099,10.894819803007518,46.246098626315785,,,unknown,high,58615.77,+1.62/-1.79,84.46,+7.40/-5.18,0.233,+0.017/-0.030,4.38,,,21.17,21.06,,,535.1,385,1.39,QZO,unknown,-,,,,,,,,,,,,
WFST_012904555+60617886,12.904554520689658,60.61788605241379,,,unknown,high,59089.83,+0.62/-0.62,42.71,+2.24/-1.32,0.536,+0.024/-0.043,2.06,21.46,21.13,20.14,20.05,,,2032.5,2279,0.89,QZO,unknown,-,,,,,,,,,,,,
WFST_047351689+39915268,47.35168902903226,39.91526773655914,2.3224485,,phot,high,58665.03,+2.97/-3.05,155.69,+31.85/-19.16,0.318,+0.072/-0.080,3.27,21.68,21.05,20.95,20.47,,,761.5,506,1.50,QZO,unknown,-,,,,,,,,,,,,
WFST_077764923+24428802,77.76492292364217,24.428801858146965,,,unknown,high,59347.36,+1.13/-1.24,677.48,+147.33/-117.46,0.058,+0.014/-0.011,17.29,21.89,18.55,21.38,17.95,,,1156.5,955,1.21,QZO,unknown,-,,,,,,,,,,,,
WFST_096415495+62613553,96.4154951375,62.613553105978255,,,unknown,high,59915.34,+1.61/-1.62,112.19,+14.56/-8.40,0.288,+0.025/-0.043,3.58,21.01,20.86,21.57,19.98,,,705.4,574,1.23,QZO,unknown,-,,,,,,,,,,,,
WFST_105820877+64551840,105.82087748986488,64.55183963918918,,,unknown,high,59846.31,+0.66/-0.81,46.11,+11.67/-5.32,0.266,+0.042/-0.071,3.86,21.33,21.06,21.48,20.69,,,815.7,726,1.12,QZO,unknown,-,,,,,,,,,,,,
WFST_110353276+50074606,110.35327649655171,50.07460645632184,,,unknown,high,59071.41,+0.87/-0.89,140.81,+5.78/-4.88,0.087,+0.004/-0.005,11.53,,,21.07,21.04,,,352.2,197,1.79,QZO,unknown,-,,,,,,,,,,,,
WFST_129559133+09740171,129.55913269615385,9.740170742307692,,,unknown,high,59115.17,+0.47/-0.52,128.35,+7.46/-6.59,0.078,+0.004/-0.004,12.90,,,21.24,21.20,,,192.2,102,1.88,QZO,unknown,-,,,,,,,,,,,,
WFST_131491829+76181599,131.49182863521128,76.18159944225351,,,unknown,high,59091.63,+0.60/-0.60,212.45,+8.74/-8.21,0.041,+0.002/-0.002,24.35,21.80,21.56,21.32,21.31,,,824.6,282,2.92,QZO,unknown,-,,,,,,,,,,,,
WFST_153468100+33916083,153.4681003261682,33.916082775700936,,,unknown,high,59116.84,+0.16/-0.16,295.67,+17.24/-14.68,0.034,+0.002/-0.002,29.62,,,21.47,21.46,,,505.2,159,3.18,QZO,unknown,-,,,,,,,,,,,,
